City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,kutum,SD,2021-12-27 00:13:30,14.2,24.6667,59.77,24,100,6.96
152,touros,BR,2021-12-27 00:13:30,-5.1989,-35.4608,80.37,78,99,9.33
153,iwaki,JP,2021-12-27 00:13:31,37.05,140.8833,36.34,61,45,5.99
154,lavrentiya,RU,2021-12-27 00:12:18,65.5833,-171.0,-5.22,86,98,8.34
155,aljezur,PT,2021-12-27 00:13:31,37.3191,-8.8033,60.84,91,100,9.66
156,palembang,ID,2021-12-27 00:13:32,-2.9167,104.7458,77.09,100,20,0.0
157,labuan,MY,2021-12-27 00:13:32,5.2767,115.2417,77.16,80,96,8.14
158,tautira,PF,2021-12-27 00:13:33,-17.7333,-149.15,86.02,68,93,7.74
159,narsaq,GL,2021-12-27 00:13:33,60.9167,-46.05,37.62,62,39,7.61
160,kruisfontein,ZA,2021-12-27 00:13:34,-34.0033,24.7314,65.88,91,76,3.62
161,huntsville,US,2021-12-27 00:11:05,34.7304,-86.5861,65.82,85,1,5.01
162,ponta do sol,PT,2021-12-27 00:13:34,32.6667,-17.1,69.01,88,86,5.08
163,vardo,NO,2021-12-27 00:13:35,70.3705,31.1107,25.16,63,100,15.19
164,promyshlennyy,RU,2021-12-27 00:13:35,67.5833,63.9167,-4.92,92,90,7.16
165,poum,NC,2021-12-27 00:13:36,-20.2333,164.0167,81.73,77,70,14.05
166,darapidap,PH,2021-12-27 00:13:36,17.2131,120.4114,76.75,68,79,5.35
167,severnoye,RU,2021-12-27 00:13:37,56.3491,78.3619,14.38,96,100,4.68
168,tasiilaq,GL,2021-12-27 00:13:37,65.6145,-37.6368,17.76,61,0,5.61
169,yegros,PY,2021-12-27 00:13:37,-26.45,-56.4,79.97,29,1,5.79
170,saint-augustin,CA,2021-12-27 00:13:38,51.226,-58.6502,31.05,80,49,16.91
171,castro,BR,2021-12-27 00:13:38,-24.7911,-50.0119,65.93,62,46,3.02
172,talnakh,RU,2021-12-27 00:13:39,69.4865,88.3972,-9.0,97,94,9.01
173,calabozo,VE,2021-12-27 00:13:39,8.9242,-67.4293,85.68,45,87,6.08
174,guano,EC,2021-12-27 00:13:40,-1.5833,-78.6333,46.94,87,91,0.54
175,pag,HR,2021-12-27 00:13:40,44.445,15.0575,50.58,79,100,11.72
176,ahipara,NZ,2021-12-27 00:13:41,-35.1667,173.1667,76.51,58,99,6.87
177,plouzane,FR,2021-12-27 00:13:41,48.3833,-4.6167,51.89,100,90,13.8
178,axim,GH,2021-12-27 00:13:41,4.8699,-2.2405,80.24,85,88,4.88
179,broken hill,AU,2021-12-27 00:13:42,-31.95,141.4333,67.62,27,0,20.78
180,taltal,CL,2021-12-27 00:13:43,-25.4,-70.4833,66.97,80,28,3.53
181,sibolga,ID,2021-12-27 00:11:39,1.7427,98.7792,75.87,86,31,3.27
182,araguacu,BR,2021-12-27 00:13:44,-12.9306,-49.8264,72.64,96,21,6.35
183,evensk,RU,2021-12-27 00:13:44,61.95,159.2333,-12.84,75,56,16.04
184,rundu,NA,2021-12-27 00:13:44,-17.9333,19.7667,70.32,64,63,3.62
185,flinders,AU,2021-12-27 00:13:45,-34.5833,150.8552,68.18,70,91,11.01
186,coihaique,CL,2021-12-27 00:14:45,-45.5752,-72.0662,64.35,63,75,3.44
187,mount gambier,AU,2021-12-27 00:14:46,-37.8333,140.7667,62.6,47,71,16.11
188,maragogi,BR,2021-12-27 00:14:46,-9.0122,-35.2225,77.77,84,100,5.48
189,xuanzhou,CN,2021-12-27 00:14:47,30.9525,118.7553,27.52,19,86,1.05
190,matara,LK,2021-12-27 00:14:47,5.9485,80.5353,71.17,88,14,8.72
191,chapais,CA,2021-12-27 00:14:48,49.7834,-74.8492,2.98,94,100,8.14
192,lasa,IT,2021-12-27 00:14:48,46.6166,10.7002,34.36,92,72,1.66
193,kabardinka,RU,2021-12-27 00:14:49,44.6514,37.9428,39.42,88,100,17.92
194,saint george,US,2021-12-27 00:14:49,37.1041,-113.5841,50.95,38,1,1.99
195,seoul,KR,2021-12-27 00:14:23,37.5683,126.9778,15.24,41,5,0.98
196,cape town,ZA,2021-12-27 00:14:49,-33.9258,18.4232,63.01,89,75,10.36
197,curillo,CO,2021-12-27 00:14:50,1.0333,-75.9191,76.75,84,97,1.99
198,odweyne,SO,2021-12-27 00:14:51,9.4092,45.064,65.08,65,29,7.31
199,nome,US,2021-12-27 00:14:51,64.5011,-165.4064,24.87,80,75,14.97
200,cabanas,CU,2021-12-27 00:14:51,22.9758,-82.9219,72.07,76,1,7.74
201,tuatapere,NZ,2021-12-27 00:14:52,-46.1333,167.6833,60.82,64,69,11.16
202,portland,US,2021-12-27 00:10:07,45.5234,-122.6762,35.94,87,92,1.99
203,arrifes,PT,2021-12-27 00:14:53,37.7667,-25.7,62.85,77,40,23.02
204,la ronge,CA,2021-12-27 00:14:53,55.1001,-105.2842,-19.95,69,90,3.44
205,portel,BR,2021-12-27 00:14:54,-1.9356,-50.8211,73.9,96,58,3.24
206,balotra,IN,2021-12-27 00:14:54,25.8333,72.2333,61.36,55,63,8.14
207,bandarbeyla,SO,2021-12-27 00:14:54,9.4942,50.8122,75.67,73,19,11.63
208,souillac,MU,2021-12-27 00:14:55,-20.5167,57.5167,76.35,83,36,8.77
209,sept-iles,CA,2021-12-27 00:11:02,50.2001,-66.3821,24.06,81,57,5.99
210,cachoeiras de macacu,BR,2021-12-27 00:14:55,-22.4625,-42.6531,68.65,94,15,3.94
211,bilma,NE,2021-12-27 00:14:56,18.6853,12.9164,63.19,22,89,5.39
212,provideniya,RU,2021-12-27 00:14:56,64.3833,-173.3,8.71,78,75,13.42
213,cabo san lucas,MX,2021-12-27 00:13:50,22.8909,-109.9124,79.61,68,1,4.61
214,tommot,RU,2021-12-27 00:14:57,58.9564,126.2925,-19.12,95,100,6.42
215,torbay,CA,2021-12-27 00:14:57,47.6666,-52.7314,31.39,93,90,8.05
216,upernavik,GL,2021-12-27 00:14:58,72.7868,-56.1549,-6.65,100,99,14.67
217,port shepstone,ZA,2021-12-27 00:14:58,-30.7414,30.455,72.09,88,100,13.31
218,svolvaer,NO,2021-12-27 00:14:59,68.2342,14.5683,20.37,73,35,1.36
219,codrington,AU,2021-12-27 00:14:59,-38.2667,141.9667,61.77,51,90,20.18
220,khatanga,RU,2021-12-27 00:15:00,71.9667,102.5,-34.91,100,72,4.0
221,olinda,BR,2021-12-27 00:15:00,-8.0089,-34.8553,80.33,78,40,0.0
222,aleysk,RU,2021-12-27 00:15:01,52.4926,82.7822,16.74,93,100,2.93
223,stephenville,US,2021-12-27 00:15:01,32.2207,-98.2023,81.21,50,1,12.66
224,alofi,NU,2021-12-27 00:15:02,-19.0595,-169.9187,84.09,70,86,6.91
225,spremberg,DE,2021-12-27 00:15:02,51.5697,14.3736,28.4,56,2,8.81
226,surt,LY,2021-12-27 00:15:03,31.2089,16.5887,60.31,44,93,13.8
227,uglovskoye,RU,2021-12-27 00:15:03,51.3557,80.1942,22.48,82,100,9.06
228,severo-kurilsk,RU,2021-12-27 00:15:04,50.6789,156.125,28.54,86,100,17.87
229,kununurra,AU,2021-12-27 00:15:04,-15.7667,128.7333,84.18,65,100,14.97
230,ulkan,RU,2021-12-27 00:15:04,57.243,107.3223,-10.28,98,100,1.86
231,jever,DE,2021-12-27 00:15:05,53.5833,7.9,28.0,74,75,12.66
232,iqaluit,CA,2021-12-27 00:11:18,63.7506,-68.5145,-5.62,95,19,2.1
233,sao joao da barra,BR,2021-12-27 00:16:05,-21.6403,-41.0511,73.15,85,0,10.02
234,huarmey,PE,2021-12-27 00:16:06,-10.0681,-78.1522,69.46,82,42,7.05
235,tocache,PE,2021-12-27 00:16:06,-8.1842,-76.5125,78.82,76,85,0.72
236,yulara,AU,2021-12-27 00:16:07,-25.2406,130.9889,87.64,19,0,16.11
237,hirara,JP,2021-12-27 00:16:07,24.8,125.2833,61.07,67,75,14.97
238,westport,US,2021-12-27 00:16:08,41.1415,-73.3579,43.79,68,75,1.01
239,kabanjahe,ID,2021-12-27 00:16:08,3.1001,98.4908,61.56,94,57,0.87
240,cherskiy,RU,2021-12-27 00:16:08,68.75,161.3,-22.56,98,100,9.64
241,laguna,US,2021-12-27 00:16:09,38.421,-121.4238,50.0,85,90,1.99
242,mattru,SL,2021-12-27 00:16:09,7.6244,-11.8332,75.63,87,55,2.82
243,flin flon,CA,2021-12-27 00:16:10,54.7682,-101.865,-14.96,64,90,4.61
244,kodiak,US,2021-12-27 00:16:10,57.79,-152.4072,43.29,82,47,7.11
245,vestmannaeyjar,IS,2021-12-27 00:16:11,63.4427,-20.2734,35.69,71,100,13.06
246,srednekolymsk,RU,2021-12-27 00:16:11,67.45,153.6833,-24.5,97,100,11.56
247,santiago del estero,AR,2021-12-27 00:16:11,-27.7951,-64.2615,85.8,26,3,7.78
248,qaanaaq,GL,2021-12-27 00:16:12,77.484,-69.3632,-8.28,94,97,5.61
249,thinadhoo,MV,2021-12-27 00:16:12,0.5333,72.9333,80.92,71,19,12.82
250,shimoda,JP,2021-12-27 00:16:13,34.6667,138.95,39.56,50,0,23.0
251,hobyo,SO,2021-12-27 00:16:13,5.3505,48.5268,77.72,74,24,16.24
252,inhambane,MZ,2021-12-27 00:16:14,-23.865,35.3833,77.18,87,86,11.86
253,gat,IL,2021-12-27 00:16:14,31.61,34.7642,55.4,56,0,1.74
254,bhuban,IN,2021-12-27 00:16:15,20.8833,85.8333,71.89,93,5,1.48
255,abancay,PE,2021-12-27 00:11:16,-13.6339,-72.8814,63.9,75,86,5.26
256,savannah bight,HN,2021-12-27 00:16:16,16.45,-85.85,77.0,68,13,8.05
257,ormara,PK,2021-12-27 00:16:16,25.2088,64.6357,73.4,77,41,7.4
258,yerbogachen,RU,2021-12-27 00:16:17,61.2767,108.0108,-10.07,87,100,2.37
259,batagay,RU,2021-12-27 00:16:17,67.6333,134.6333,-40.13,99,99,2.95
260,jasper,US,2021-12-27 00:16:18,37.2001,-94.3502,70.0,64,1,10.0
